track_id,user,datetime
TRAWBUA128F92F9966,73,2016-07-31 11:39:21
TRAUDXB128F9305525,40,2016-06-11 07:19:43
TRATSRJ128F934312F,5,2015-09-30 18:21:13
TRAWXSC12903D027C2,152,2017-12-15 08:00:25
TRATVHE128F934ABD2,221,2015-03-25 06:32:35
TRAVDWI12903CA913D,133,2017-11-12 07:34:46
TRAVCDS128F4234FEB,90,2017-06-20 14:56:56
TRAUQID128F427864F,112,2016-04-14 18:19:00
TRAVERI128F42457CB,160,2015-09-06 04:05:22
TRATVHE128F934ABD2,246,2014-06-07 10:33:09
TRAUVUW128F92E20E8,56,2018-07-25 03:28:12
TRAUDBU128F9313CBB,171,2017-03-07 11:26:23
TRAUTIX128F42985F7,245,2016-08-06 08:06:25
TRAWQEU128F4279159,76,2015-08-29 23:07:22
TRAUQYG128F92F0806,152,2015-11-02 23:15:40
TRAWOCQ128F9306906,201,2017-09-06 15:15:24
TRAVCNI128E0794817,29,2017-01-31 20:08:46
TRAWQYH128F93222C6,147,2016-02-12 03:19:54
TRAVCKY128F4236EBF,165,2018-08-10 16:34:00
TRAWTHB128F1491C02,242,2015-02-01 22:20:01
TRAWLAH128F42A9258,121,2015-04-04 02:22:52
TRAUIMP128F92DC604,59,2014-09-24 00:47:05
TRAWLEX128F429DCA3,92,2015-04-21 23:11:55
TRAWAFA128F931B67C,174,2014-05-29 02:26:35
TRAUHWR12903CC82A0,57,2017-02-11 04:04:54
TRAWHOF128E0788F95,41,2016-01-21 13:10:15
TRAUNUB128F93373AA,92,2014-02-07 15:16:55
TRAVIYW128F4277858,237,2017-03-05 06:44:42
TRAUXUZ12903CE813F,146,2016-08-25 17:10:37
TRAWBUA128F92F9966,41,2016-07-31 03:52:15
TRAUNEK128F4270B12,210,2014-01-23 12:32:57
TRAUFXV128F4266645,109,2014-07-10 12:36:36
TRAWBMA12903CD5422,34,2017-10-10 11:47:35
TRAWAUC128F9312676,215,2015-09-12 10:31:50
TRAUPIY128F425EF4A,57,2018-03-05 21:56:37
TRAWIJQ128F145C2C7,171,2016-12-22 10:37:43
TRAVPVL128F92FA6C2,149,2014-03-08 15:08:38
TRAWSKO128F422E8E9,194,2016-05-06 06:43:36
TRAUOMY12903CE8685,191,2015-03-30 10:43:41
TRAVSSN128F931C5F6,209,2015-08-22 00:29:20
TRAUFHP128F933E28F,126,2017-06-10 08:20:45
TRAWNAF128F425CBC9,234,2017-12-20 20:25:32
TRAUFHP128F933E28F,144,2014-08-28 13:51:30
TRAVISG128F932B3FB,105,2017-08-13 22:43:10
TRAVIJA128F92E720A,141,2017-04-09 18:35:13
TRAVDWI12903CA913D,223,2014-10-10 04:00:09
TRATXQY128F1489B0C,136,2014-08-05 19:45:28
TRATVQJ128F9309581,41,2014-08-12 21:20:18
TRAVHUC128F429B62B,225,2016-01-20 10:42:35
TRATUCH12903CDFD5B,204,2017-02-07 22:54:54
TRAVHPF128F429AA9A,62,2016-09-05 15:28:52
TRAVPOX128F14A0A3F,241,2016-08-31 20:39:25
TRAUKEE128F427EE36,139,2015-03-11 21:24:54
TRAWVVM12903CC9B77,109,2014-03-16 06:12:30
TRAUVTR12903CB43D9,208,2017-02-13 13:01:25
TRATWOM128EF35A552,76,2018-08-12 08:41:35
TRAWAUC128F9312676,100,2016-12-16 06:40:31
TRAVVBT12903CDCEAE,69,2015-09-20 03:15:06
TRAVUTW128F92D821F,124,2018-02-23 16:15:49
TRAVHGK128F14ADDE0,93,2017-02-11 18:39:47
TRAVMHQ128F92DE5A4,52,2017-10-19 18:54:35
TRAWDEG12903C9A9DB,8,2016-07-11 19:45:37
TRAVEJN128F149E0F6,235,2016-08-25 00:25:19
TRAVKIR12903CBE25D,18,2017-11-22 04:08:55
TRAVQDQ128F92FBF42,76,2014-03-08 09:42:15
TRAUKKZ128F9341A22,133,2014-09-17 18:07:19
TRAWLOB128F92CF27B,218,2016-02-15 13:13:19
TRAVTTJ128F4266D7C,85,2014-01-12 19:23:02
TRAURNN128F92EF1C8,47,2018-08-27 20:14:02
TRAVGNV128F9334B4B,6,2017-01-10 16:09:43
TRAVCUK128EF341404,97,2016-09-17 19:23:44
TRAVEJN128F149E0F6,179,2015-05-03 03:14:10
TRAUFZM128F4290117,225,2015-08-11 02:12:18
TRATUON128F92EC9D9,192,2016-07-30 18:08:33
TRAUPJB128F42625B8,135,2017-02-01 10:24:14
TRAVYTY128F4238850,241,2015-09-18 20:54:45
TRAUDFY128F9355693,205,2018-06-07 15:08:11
TRAVJLG128F930B2C3,129,2018-01-15 18:23:59
TRAWYXI128F429996C,97,2018-05-20 16:36:38
TRAVUIQ128F4231357,167,2014-05-20 20:27:27
TRATTGV12903CD1A58,18,2016-05-26 12:47:50
TRAVERI128F42457CB,55,2016-09-18 13:55:21
TRAWRIC128E078ED37,27,2015-11-11 08:40:38
TRAVXOW128F92FB749,39,2014-12-18 09:26:19
TRAWRIC128E078ED37,101,2016-02-15 14:48:07
TRAWSVP12903CC132D,136,2018-06-30 01:13:59
TRAWDRH12903CFA586,215,2018-08-07 01:38:37
TRAUIMP128F92DC604,91,2015-11-18 11:49:38
TRAVKOQ128F9351B59,246,2018-04-27 08:47:52
TRAWJGA128F4269064,126,2018-05-16 00:37:35
TRAWSYJ12903CB2E3B,186,2014-02-22 23:33:36
TRAUOOS128F92ED2CA,229,2014-06-24 04:34:22
TRAWXLI128F1463CDB,3,2016-03-28 01:22:51
TRATZZO128F930CEDE,237,2017-11-07 11:51:47
TRAWOFR12903CC8876,149,2018-03-09 16:05:13
TRAWDET128F934FB4E,121,2018-07-28 02:24:18
TRATXMR128F92E108B,135,2014-11-26 12:30:58
TRAWDTB12903CB283D,145,2014-01-15 09:59:37
TRAVIBR128F1473C2E,169,2015-03-26 05:19:07
TRAUVTR12903CB43D9,77,2014-05-28 09:20:57
TRAUFEH12903CF4243,33,2014-08-26 04:10:24
TRAVBWV128F92D2531,130,2016-02-15 08:18:05
TRAVQDQ128F92FBF42,157,2016-10-13 11:08:49
TRAWOIA12903C9ACB1,42,2014-11-28 10:19:55
TRAUBPL128F93285BA,63,2016-01-04 19:27:18
TRAWVBR128F930A60B,156,2017-05-07 10:41:26
TRAULCS128F4254CAA,244,2017-04-26 21:50:49
TRAWSKO128F422E8E9,81,2018-03-01 13:45:32
TRAVVFG128F14697E9,102,2016-06-26 16:23:03
TRAUFZM128F4290117,247,2016-07-13 02:54:21
TRAVGIB128F9349B3F,191,2015-01-12 08:41:04
TRAWOUY128F930A959,105,2017-03-22 13:28:36
TRAWLEX128F429DCA3,82,2016-08-08 16:00:26
TRAVJVS128F4251455,2,2017-01-08 22:43:40
TRAWMUK128F92F5C3F,100,2016-04-29 11:24:32
TRAWCBC128F92ECDE9,104,2016-03-14 00:43:51
TRAWQYH128F93222C6,50,2014-09-07 18:47:31
TRAWDUC12903CC51A0,216,2017-09-01 16:39:07
TRATYHL128F1469E29,203,2014-04-24 10:52:07
TRAULEJ128F92E2A47,35,2017-01-29 23:09:43
TRATUJK128F429C591,196,2017-06-21 22:23:37
TRAWGNH128F42320BB,30,2016-01-30 21:13:11
TRAULTL128F92FA6F9,242,2016-10-12 07:18:00
TRAWVBR128F930A60B,108,2017-03-01 06:50:01
TRATUON128F92EC9D9,230,2016-08-01 13:26:24
TRAWBXX12903D099D5,205,2015-07-26 14:39:05
TRAWSYJ12903CB2E3B,147,2014-12-07 11:57:14
TRAWUYW128F428E26B,48,2017-07-17 22:14:06
TRAVHYF12903CEFB88,82,2014-10-29 21:22:56
TRATVQK128F425450D,212,2015-12-18 10:11:10
TRAWPXD128F422B642,77,2015-10-14 03:22:11
TRAWLEX128F429DCA3,190,2016-01-23 20:49:43
TRAWKCN128F428EC1E,205,2014-11-29 04:44:04
TRAUXZY12903CE4255,42,2017-07-28 20:06:37
TRAVAHG128F428D023,113,2017-02-23 00:25:08
TRAUALK128F92C5100,10,2016-06-10 17:06:41
TRAWCLE128F92F7BBD,212,2016-08-06 20:42:39
TRAUQEV128F9319F49,227,2014-04-06 21:13:20
TRAUYGJ128E0798505,130,2017-09-03 23:26:54
TRATTZU128E0798513,241,2017-03-02 02:08:46
TRAURXZ128F427E8FD,212,2017-09-23 16:44:39
TRAVWGY128F9337BAF,151,2014-02-21 16:18:31
TRAVBJU128F931786F,188,2017-01-20 09:55:05
TRATUKH128F426305B,53,2014-12-24 18:03:58
TRAWLOB128F92CF27B,34,2015-01-25 17:08:44
TRAUGMT128F9303449,230,2016-10-16 12:18:41
TRAVCKY128F4236EBF,16,2018-07-17 07:13:28
TRAUGMT128F9303449,200,2017-11-11 01:02:40
TRAWOCQ128F9306906,13,2016-10-16 05:52:48
TRAWFSN128F9348E3E,250,2017-01-26 11:04:06
TRAUCGD128F92DA6EB,224,2016-03-10 22:22:29
TRAUANB128F4263571,121,2014-08-27 07:56:50
TRATTMV128F426836E,170,2016-08-24 04:55:22
